name,original_image,original_mask,folder,remove_image,inpaint_image,inpaint_mask,inpaint_background,alignment_score,prediction_score,priority
case_M_20190115123306_0U62368011540606_1_002_001-1_a3_ayy_image0006,/home/user01/majiajian/data/polyp/SUN-SEG_10/TrainDataset_10/images/case85_1/case_M_20190115123306_0U62368011540606_1_002_001-1_a3_ayy_image0006.jpg,/home/user01/majiajian/data/polyp/SUN-SEG_10/TrainDataset_10/masks/case85_1/case_M_20190115123306_0U62368011540606_1_002_001-1_a3_ayy_image0006.png,case85_1,/home/user01/majiajian/data/polyp/SUN-SEG_10/SUN-SEG_10_remove/remove/images/case_M_20190115123306_0U62368011540606_1_002_001-1_a3_ayy_image0006.png,/home/user01/majiajian/data/polyp/SUN-SEG_10/multiple_controlnet_inpaint/images/1/case_M_20190115123306_0U62368011540606_1_002_001-1_a3_ayy_image0006.png,/home/user01/majiajian/data/polyp/SUN-SEG_10/multiple_controlnet_inpaint/refined_masks/1/case_M_20190115123306_0U62368011540606_1_002_001-1_a3_ayy_image0006.png,/home/user01/majiajian/data/polyp/SUN-SEG_10/multiple_controlnet_inpaint/background/1/case_M_20190115123306_0U62368011540606_1_002_001-1_a3_ayy_image0006&0_2_frame_3125.jpg,0.7366,0.8347,574.0
case_M_20190115123306_0U62368011540606_1_002_001-1_a3_ayy_image0016,/home/user01/majiajian/data/polyp/SUN-SEG_10/TrainDataset_10/images/case85_1/case_M_20190115123306_0U62368011540606_1_002_001-1_a3_ayy_image0016.jpg,/home/user01/majiajian/data/polyp/SUN-SEG_10/TrainDataset_10/masks/case85_1/case_M_20190115123306_0U62368011540606_1_002_001-1_a3_ayy_image0016.png,case85_1,/home/user01/majiajian/data/polyp/SUN-SEG_10/SUN-SEG_10_remove/remove/images/case_M_20190115123306_0U62368011540606_1_002_001-1_a3_ayy_image0016.png,/home/user01/majiajian/data/polyp/SUN-SEG_10/multiple_controlnet_inpaint/images/1/case_M_20190115123306_0U62368011540606_1_002_001-1_a3_ayy_image0016.png,/home/user01/majiajian/data/polyp/SUN-SEG_10/multiple_controlnet_inpaint/refined_masks/1/case_M_20190115123306_0U62368011540606_1_002_001-1_a3_ayy_image0016.png,/home/user01/majiajian/data/polyp/SUN-SEG_10/multiple_controlnet_inpaint/background/1/case_M_20190115123306_0U62368011540606_1_002_001-1_a3_ayy_image0016&0_3_frame_3425.jpg,0.6571,0.0003,880.0
case_M_20190115123306_0U62368011540606_1_002_001-1_a1_ayy_image0031,/home/user01/majiajian/data/polyp/SUN-SEG_10/TrainDataset_10/images/case85_1/case_M_20190115123306_0U62368011540606_1_002_001-1_a1_ayy_image0031.jpg,/home/user01/majiajian/data/polyp/SUN-SEG_10/TrainDataset_10/masks/case85_1/case_M_20190115123306_0U62368011540606_1_002_001-1_a1_ayy_image0031.png,case85_1,/home/user01/majiajian/data/polyp/SUN-SEG_10/SUN-SEG_10_remove/remove/images/case_M_20190115123306_0U62368011540606_1_002_001-1_a1_ayy_image0031.png,/home/user01/majiajian/data/polyp/SUN-SEG_10/multiple_controlnet_inpaint/images/1/case_M_20190115123306_0U62368011540606_1_002_001-1_a1_ayy_image0031.png,/home/user01/majiajian/data/polyp/SUN-SEG_10/multiple_controlnet_inpaint/refined_masks/1/case_M_20190115123306_0U62368011540606_1_002_001-1_a1_ayy_image0031.png,/home/user01/majiajian/data/polyp/SUN-SEG_10/multiple_controlnet_inpaint/background/1/case_M_20190115123306_0U62368011540606_1_002_001-1_a1_ayy_image0031&0_2_frame_2775.jpg,0.5832,0.0002,327.0
case_M_20190115123306_0U62368011540606_1_002_001-1_a2_ayy_image0005,/home/user01/majiajian/data/polyp/SUN-SEG_10/TrainDataset_10/images/case85_1/case_M_20190115123306_0U62368011540606_1_002_001-1_a2_ayy_image0005.jpg,/home/user01/majiajian/data/polyp/SUN-SEG_10/TrainDataset_10/masks/case85_1/case_M_20190115123306_0U62368011540606_1_002_001-1_a2_ayy_image0005.png,case85_1,/home/user01/majiajian/data/polyp/SUN-SEG_10/SUN-SEG_10_remove/remove/images/case_M_20190115123306_0U62368011540606_1_002_001-1_a2_ayy_image0005.png,/home/user01/majiajian/data/polyp/SUN-SEG_10/multiple_controlnet_inpaint/images/1/case_M_20190115123306_0U62368011540606_1_002_001-1_a2_ayy_image0005.png,/home/user01/majiajian/data/polyp/SUN-SEG_10/multiple_controlnet_inpaint/refined_masks/1/case_M_20190115123306_0U62368011540606_1_002_001-1_a2_ayy_image0005.png,/home/user01/majiajian/data/polyp/SUN-SEG_10/multiple_controlnet_inpaint/background/1/case_M_20190115123306_0U62368011540606_1_002_001-1_a2_ayy_image0005&case_M_20181001094710_0U62363100131210_1_006_001-1_Negative_ayy_image009143.jpg,0.7849,0.9109,1412.0
case_M_20190115123306_0U62368011540606_1_002_001-1_a1_ayy_image0001,/home/user01/majiajian/data/polyp/SUN-SEG_10/TrainDataset_10/images/case85_1/case_M_20190115123306_0U62368011540606_1_002_001-1_a1_ayy_image0001.jpg,/home/user01/majiajian/data/polyp/SUN-SEG_10/TrainDataset_10/masks/case85_1/case_M_20190115123306_0U62368011540606_1_002_001-1_a1_ayy_image0001.png,case85_1,/home/user01/majiajian/data/polyp/SUN-SEG_10/SUN-SEG_10_remove/remove/images/case_M_20190115123306_0U62368011540606_1_002_001-1_a1_ayy_image0001.png,/home/user01/majiajian/data/polyp/SUN-SEG_10/multiple_controlnet_inpaint/images/1/case_M_20190115123306_0U62368011540606_1_002_001-1_a1_ayy_image0001.png,/home/user01/majiajian/data/polyp/SUN-SEG_10/multiple_controlnet_inpaint/refined_masks/1/case_M_20190115123306_0U62368011540606_1_002_001-1_a1_ayy_image0001.png,/home/user01/majiajian/data/polyp/SUN-SEG_10/multiple_controlnet_inpaint/background/1/case_M_20190115123306_0U62368011540606_1_002_001-1_a1_ayy_image0001&case_M_20181001094710_0U62363100131210_1_006_001-1_Negative_ayy_image014571.jpg,0.5105,0.1299,723.0
case_M_20181211093229_0U62367121175028_1_004_001-1_a8_ayy_image0018,/home/user01/majiajian/data/polyp/SUN-SEG_10/TrainDataset_10/images/case62_1/case_M_20181211093229_0U62367121175028_1_004_001-1_a8_ayy_image0018.jpg,/home/user01/majiajian/data/polyp/SUN-SEG_10/TrainDataset_10/masks/case62_1/case_M_20181211093229_0U62367121175028_1_004_001-1_a8_ayy_image0018.png,case62_1,/home/user01/majiajian/data/polyp/SUN-SEG_10/SUN-SEG_10_remove/remove/images/case_M_20181211093229_0U62367121175028_1_004_001-1_a8_ayy_image0018.png,/home/user01/majiajian/data/polyp/SUN-SEG_10/multiple_controlnet_inpaint/images/1/case_M_20181211093229_0U62367121175028_1_004_001-1_a8_ayy_image0018.png,/home/user01/majiajian/data/polyp/SUN-SEG_10/multiple_controlnet_inpaint/refined_masks/1/case_M_20181211093229_0U62367121175028_1_004_001-1_a8_ayy_image0018.png,/home/user01/majiajian/data/polyp/SUN-SEG_10/multiple_controlnet_inpaint/background/1/case_M_20181211093229_0U62367121175028_1_004_001-1_a8_ayy_image0018&0_16_frame_6425.jpg,0.8616,0.8282,76.0
case_M_20181211093229_0U62367121175028_1_004_001-1_a6_ayy_image0015,/home/user01/majiajian/data/polyp/SUN-SEG_10/TrainDataset_10/images/case62_1/case_M_20181211093229_0U62367121175028_1_004_001-1_a6_ayy_image0015.jpg,/home/user01/majiajian/data/polyp/SUN-SEG_10/TrainDataset_10/masks/case62_1/case_M_20181211093229_0U62367121175028_1_004_001-1_a6_ayy_image0015.png,case62_1,/home/user01/majiajian/data/polyp/SUN-SEG_10/SUN-SEG_10_remove/remove/images/case_M_20181211093229_0U62367121175028_1_004_001-1_a6_ayy_image0015.png,/home/user01/majiajian/data/polyp/SUN-SEG_10/multiple_controlnet_inpaint/images/1/case_M_20181211093229_0U62367121175028_1_004_001-1_a6_ayy_image0015.png,/home/user01/majiajian/data/polyp/SUN-SEG_10/multiple_controlnet_inpaint/refined_masks/1/case_M_20181211093229_0U62367121175028_1_004_001-1_a6_ayy_image0015.png,/home/user01/majiajian/data/polyp/SUN-SEG_10/multiple_controlnet_inpaint/background/1/case_M_20181211093229_0U62367121175028_1_004_001-1_a6_ayy_image0015&case_M_20181213110534_0U62372121321834_1_005_001-1_Negative_2_ayy_image001295.jpg,0.8211,0.9065,1046.0
case_M_20181211093229_0U62367121175028_1_004_001-1_a5_ayy_image0033,/home/user01/majiajian/data/polyp/SUN-SEG_10/TrainDataset_10/images/case62_1/case_M_20181211093229_0U62367121175028_1_004_001-1_a5_ayy_image0033.jpg,/home/user01/majiajian/data/polyp/SUN-SEG_10/TrainDataset_10/masks/case62_1/case_M_20181211093229_0U62367121175028_1_004_001-1_a5_ayy_image0033.png,case62_1,/home/user01/majiajian/data/polyp/SUN-SEG_10/SUN-SEG_10_remove/remove/images/case_M_20181211093229_0U62367121175028_1_004_001-1_a5_ayy_image0033.png,/home/user01/majiajian/data/polyp/SUN-SEG_10/multiple_controlnet_inpaint/images/1/case_M_20181211093229_0U62367121175028_1_004_001-1_a5_ayy_image0033.png,/home/user01/majiajian/data/polyp/SUN-SEG_10/multiple_controlnet_inpaint/refined_masks/1/case_M_20181211093229_0U62367121175028_1_004_001-1_a5_ayy_image0033.png,/home/user01/majiajian/data/polyp/SUN-SEG_10/multiple_controlnet_inpaint/background/1/case_M_20181211093229_0U62367121175028_1_004_001-1_a5_ayy_image0033&0_16_frame_7350.jpg,0.9169,0.9544,1798.0
case_M_20181211093229_0U62367121175028_1_004_001-1_a8_ayy_image0028,/home/user01/majiajian/data/polyp/SUN-SEG_10/TrainDataset_10/images/case62_1/case_M_20181211093229_0U62367121175028_1_004_001-1_a8_ayy_image0028.jpg,/home/user01/majiajian/data/polyp/SUN-SEG_10/TrainDataset_10/masks/case62_1/case_M_20181211093229_0U62367121175028_1_004_001-1_a8_ayy_image0028.png,case62_1,/home/user01/majiajian/data/polyp/SUN-SEG_10/SUN-SEG_10_remove/remove/images/case_M_20181211093229_0U62367121175028_1_004_001-1_a8_ayy_image0028.png,/home/user01/majiajian/data/polyp/SUN-SEG_10/multiple_controlnet_inpaint/images/1/case_M_20181211093229_0U62367121175028_1_004_001-1_a8_ayy_image0028.png,/home/user01/majiajian/data/polyp/SUN-SEG_10/multiple_controlnet_inpaint/refined_masks/1/case_M_20181211093229_0U62367121175028_1_004_001-1_a8_ayy_image0028.png,/home/user01/majiajian/data/polyp/SUN-SEG_10/multiple_controlnet_inpaint/background/1/case_M_20181211093229_0U62367121175028_1_004_001-1_a8_ayy_image0028&case_M_20181109101724_0U62368110954624_1_004_001-1_Negative_ayy_image006672.jpg,0.9108,0.6121,1764.0
case_M_20181211093229_0U62367121175028_1_004_001-1_a5_ayy_image0003,/home/user01/majiajian/data/polyp/SUN-SEG_10/TrainDataset_10/images/case62_1/case_M_20181211093229_0U62367121175028_1_004_001-1_a5_ayy_image0003.jpg,/home/user01/majiajian/data/polyp/SUN-SEG_10/TrainDataset_10/masks/case62_1/case_M_20181211093229_0U62367121175028_1_004_001-1_a5_ayy_image0003.png,case62_1,/home/user01/majiajian/data/polyp/SUN-SEG_10/SUN-SEG_10_remove/remove/images/case_M_20181211093229_0U62367121175028_1_004_001-1_a5_ayy_image0003.png,/home/user01/majiajian/data/polyp/SUN-SEG_10/multiple_controlnet_inpaint/images/1/case_M_20181211093229_0U62367121175028_1_004_001-1_a5_ayy_image0003.png,/home/user01/majiajian/data/polyp/SUN-SEG_10/multiple_controlnet_inpaint/refined_masks/1/case_M_20181211093229_0U62367121175028_1_004_001-1_a5_ayy_image0003.png,/home/user01/majiajian/data/polyp/SUN-SEG_10/multiple_controlnet_inpaint/background/1/case_M_20181211093229_0U62367121175028_1_004_001-1_a5_ayy_image0003&0_16_frame_3350.jpg,0.865,0.9443,498.0
case_M_20181211093229_0U62367121175028_1_004_001-1_a3_ayy_image0008,/home/user01/majiajian/data/polyp/SUN-SEG_10/TrainDataset_10/images/case62_1/case_M_20181211093229_0U62367121175028_1_004_001-1_a3_ayy_image0008.jpg,/home/user01/majiajian/data/polyp/SUN-SEG_10/TrainDataset_10/masks/case62_1/case_M_20181211093229_0U62367121175028_1_004_001-1_a3_ayy_image0008.png,case62_1,/home/user01/majiajian/data/polyp/SUN-SEG_10/SUN-SEG_10_remove/remove/images/case_M_20181211093229_0U62367121175028_1_004_001-1_a3_ayy_image0008.png,/home/user01/majiajian/data/polyp/SUN-SEG_10/multiple_controlnet_inpaint/images/1/case_M_20181211093229_0U62367121175028_1_004_001-1_a3_ayy_image0008.png,/home/user01/majiajian/data/polyp/SUN-SEG_10/multiple_controlnet_inpaint/refined_masks/1/case_M_20181211093229_0U62367121175028_1_004_001-1_a3_ayy_image0008.png,/home/user01/majiajian/data/polyp/SUN-SEG_10/multiple_controlnet_inpaint/background/1/case_M_20181211093229_0U62367121175028_1_004_001-1_a3_ayy_image0008&0_12_frame_3875.jpg,0.9206,0.9174,1823.0
case_M_20181211093229_0U62367121175028_1_004_001-1_a4_ayy_image0029,/home/user01/majiajian/data/polyp/SUN-SEG_10/TrainDataset_10/images/case62_1/case_M_20181211093229_0U62367121175028_1_004_001-1_a4_ayy_image0029.jpg,/home/user01/majiajian/data/polyp/SUN-SEG_10/TrainDataset_10/masks/case62_1/case_M_20181211093229_0U62367121175028_1_004_001-1_a4_ayy_image0029.png,case62_1,/home/user01/majiajian/data/polyp/SUN-SEG_10/SUN-SEG_10_remove/remove/images/case_M_20181211093229_0U62367121175028_1_004_001-1_a4_ayy_image0029.png,/home/user01/majiajian/data/polyp/SUN-SEG_10/multiple_controlnet_inpaint/images/1/case_M_20181211093229_0U62367121175028_1_004_001-1_a4_ayy_image0029.png,/home/user01/majiajian/data/polyp/SUN-SEG_10/multiple_controlnet_inpaint/refined_masks/1/case_M_20181211093229_0U62367121175028_1_004_001-1_a4_ayy_image0029.png,/home/user01/majiajian/data/polyp/SUN-SEG_10/multiple_controlnet_inpaint/background/1/case_M_20181211093229_0U62367121175028_1_004_001-1_a4_ayy_image0029&case_M_20181213110534_0U62372121321834_1_005_001-1_Negative_2_ayy_image006988.jpg,0.9245,0.6462,1024.0
case_M_20181211093229_0U62367121175028_1_004_001-1_a5_ayy_image0023,/home/user01/majiajian/data/polyp/SUN-SEG_10/TrainDataset_10/images/case62_1/case_M_20181211093229_0U62367121175028_1_004_001-1_a5_ayy_image0023.jpg,/home/user01/majiajian/data/polyp/SUN-SEG_10/TrainDataset_10/masks/case62_1/case_M_20181211093229_0U62367121175028_1_004_001-1_a5_ayy_image0023.png,case62_1,/home/user01/majiajian/data/polyp/SUN-SEG_10/SUN-SEG_10_remove/remove/images/case_M_20181211093229_0U62367121175028_1_004_001-1_a5_ayy_image0023.png,/home/user01/majiajian/data/polyp/SUN-SEG_10/multiple_controlnet_inpaint/images/1/case_M_20181211093229_0U62367121175028_1_004_001-1_a5_ayy_image0023.png,/home/user01/majiajian/data/polyp/SUN-SEG_10/multiple_controlnet_inpaint/refined_masks/1/case_M_20181211093229_0U62367121175028_1_004_001-1_a5_ayy_image0023.png,/home/user01/majiajian/data/polyp/SUN-SEG_10/multiple_controlnet_inpaint/background/1/case_M_20181211093229_0U62367121175028_1_004_001-1_a5_ayy_image0023&0_3_frame_4125.jpg,0.9121,0.9114,860.0
